Beds,SqFt,Built,Garage,FullBaths,HalfBaths,LotSqFt,AboveMeanPrice
2,936,1965,0,1,0,0,0
2,1064,1965,0,1,0,0,0
2,1064,1965,0,1,0,0,0
1,640,1965,0,1,0,0,0
3,2536,2004,1,3,1,2178,0
4,2548,2003,2,3,1,3485,0
4,1702,1988,0,2,1,2614,0
3,1833,1994,1,2,1,3049,0
3,2253,2011,2,2,1,4356,1
3,2285,2000,1,2,1,2178,0
3,2013,1993,2,2,1,2614,0
3,1814,2000,2,2,1,1307,0
3,2323,1995,0,2,1,2614,0
3,2426,2000,2,3,1,2178,0
2,2012,2006,0,3,0,1742,0
3,1857,2001,0,3,1,1307,0
3,2146,1993,1,3,1,1742,0
3,2260,2014,1,2,1,0,0
3,1119,1987,0,2,1,0,0
2,840,1984,0,2,1,0,0
2,1038,1986,0,1,0,0,0
2,1491,2017,1,2,0,0,0
2,1383,2019,1,2,0,0,0
2,1491,2018,1,2,0,0,0
3,1752,2007,1,2,1,0,0
3,1740,2007,1,2,1,0,0
3,2766,2009,1,2,1,0,0
3,1784,2010,1,2,1,0,0
3,1820,2000,0,2,1,2178,0
2,1390,2006,1,2,1,0,0
2,1588,2006,1,2,1,0,0
2,1508,2018,1,2,1,0,0
2,1088,2019,1,2,1,0,0
2,1532,2018,1,2,1,0,0
2,1618,2019,1,2,1,0,0
4,2967,2000,2,2,1,5227,1
5,3706,2004,2,4,1,3485,1
4,4452,2004,2,3,1,3485,1
4,2801,2002,2,3,1,3049,1
4,2607,2000,2,2,1,2614,1
3,2241,2002,2,2,1,1742,0
3,3063,2001,2,4,1,3485,1
4,3388,2016,2,4,1,2178,1
2,1138,1997,0,2,0,0,0
3,1900,1997,1,2,1,1307,0
2,1020,1989,0,1,1,0,0
2,994,1990,0,2,0,0,0
3,2294,2002,2,2,1,2178,0
3,2284,2003,2,3,1,2178,0
3,1200,1970,0,1,1,2614,0
3,2340,1999,1,2,1,1742,0
4,2056,2002,1,3,1,2614,0
4,1540,1973,0,2,1,3049,0
3,1540,1973,0,2,1,3049,0
4,1540,1974,0,2,1,3049,0
4,1540,1974,0,2,1,3049,0
3,1540,1972,0,2,1,2614,0
3,1346,2005,1,2,0,0,0
2,1438,2005,1,2,1,0,0
2,1438,2005,1,2,0,0,0
2,1156,2005,1,2,0,0,0
2,910,2005,0,1,0,0,0
1,830,2005,0,1,0,0,0
3,1928,2000,1,2,1,1742,0
3,1732,1997,0,3,1,2178,0
3,2432,2002,1,2,1,2178,0
3,2312,2011,1,2,1,0,0
3,2330,2014,1,2,1,0,0
3,2330,2015,1,2,1,0,0
3,2452,2020,1,2,1,0,0
2,1524,2020,1,2,1,0,0
3,2454,1996,0,3,1,1742,0
2,996,1987,0,2,0,0,0
2,780,1987,0,1,0,0,0
4,1692,1966,0,2,1,2178,0
3,1200,1966,0,1,1,2178,0
3,1256,2005,0,2,0,0,0
3,2479,2000,2,2,1,2178,0
2,1019,1991,0,2,0,0,0
1,737,1991,0,1,0,0,0
5,2840,2018,2,4,1,2178,1
5,2840,2016,2,4,1,1742,1
3,2537,2001,1,3,1,4356,0
4,2984,2009,2,3,1,3920,1
4,3019,2010,2,3,1,2178,1
3,1762,1992,1,2,1,1742,0
3,2424,1993,0,2,1,2614,0
